EXTERNAL/TSAI:  VERSION OF 8/8/96

RUNPLAN for CLAS hadronization experiment                               
 inclusive:                                                             
                                                                        
CLAS ALUMINUM                                                           
                                                                        

----*----1----*----2----*----3----*----4----*----5----*----6----*----7--
                                                                        

TARGET (iZ,iA) = ( 13, 27);   avgA =  27.000; amuM= 26.978; avgM= 25.130
 targ= ordina; ttarg(rl)=0.01315; twall=0.00129; tbeam=0.00264; tspec=0.00000
         Nseg  =   2
 MODELS: P elastc(ikk)=14; deut elastic=13; inelastc=206; Pauli Supresion= 1
 NUCLEAR METHOD= 1;   NUCLEAR_MODEL= 1

    E1    TH    Q2 COS_K         SMR     NUC          INT-SMR
    EP     X    W2 QE-PK  INELA  Q-ELA  ELAST   TOTAL  MODEL

  10.540  8.944  1.57    1.33    5.74    0.98    0.01    6.73  0.837
   6.134  0.190  7.58    1.76    6.22    1.30    0.01    7.53 2.753E+03

  10.540  9.373  1.66    1.36    6.45    0.98    0.01    7.44  0.832
   5.893  0.190  7.94    1.80    7.15    1.31    0.01    8.47 2.189E+03

  10.540  9.842  1.75    1.41    7.24    1.00    0.01    8.24  0.827
   5.638  0.190  8.33    1.86    8.18    1.33    0.01    9.53 1.727E+03

  10.540 10.359  1.84    1.49    8.10    1.03    0.01    9.14  0.823
   5.369  0.190  8.74    1.96    9.32    1.38    0.01   10.71 1.353E+03

  10.540 10.933  1.95    1.60    9.04    1.09    0.01   10.14  0.818
   5.086  0.190  9.17    2.09   10.58    1.46    0.01   12.04 1.051E+03

  10.540 11.576  2.05    1.74   10.10    1.17    0.01   11.28  0.813
   4.787  0.190  9.62    2.29   11.98    1.57    0.01   13.57 8.087E+02

  10.540 12.303  2.16    1.95   11.29    1.29    0.02   12.60  0.808
   4.472  0.190 10.10    2.55   13.57    1.73    0.02   15.32 6.159E+02

  10.540 13.137  2.28    2.23   12.67    1.47    0.02   14.16  0.802
   4.139  0.190 10.61    2.93   15.41    1.97    0.02   17.40 4.635E+02

  10.540 14.107  2.41    2.62   14.29    1.72    0.02   16.03  0.795
   3.788  0.190 11.14    3.45   17.57    2.31    0.02   19.90 3.441E+02

