                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   5.8620   9.9130  0.75400E+03  0.80179E+03  0.80706E-01  0.79517E+03  0.80572E+03  0.80431E-01  0.79778E+03
   10.5400   5.6060  10.4122  0.59532E+03  0.63755E+03  0.73022E-01  0.63225E+03  0.64152E+03  0.72820E-01  0.63515E+03
   10.5400   5.3350  10.9627  0.46646E+03  0.50357E+03  0.66272E-01  0.49928E+03  0.50746E+03  0.66130E-01  0.50229E+03
   10.5400   5.0500  11.5743  0.36251E+03  0.39474E+03  0.60034E-01  0.39122E+03  0.39842E+03  0.59943E-01  0.39420E+03
   10.5400   4.7490  12.2601  0.27916E+03  0.30698E+03  0.54469E-01  0.30407E+03  0.31041E+03  0.54421E-01  0.30691E+03
   10.5400   4.4320  13.0374  0.21280E+03  0.23662E+03  0.49378E-01  0.23416E+03  0.23975E+03  0.49367E-01  0.23680E+03
   10.5400   4.0970  13.9298  0.16035E+03  0.18061E+03  0.44900E-01  0.17851E+03  0.18344E+03  0.44918E-01  0.18091E+03
   10.5400   3.7440  14.9709  0.11923E+03  0.13635E+03  0.40834E-01  0.13451E+03  0.13887E+03  0.40877E-01  0.13665E+03
   10.5400   3.3720  16.2097  0.87248E+02  0.10164E+03  0.37164E-01  0.99992E+02  0.10387E+03  0.37227E-01  0.10188E+03
   10.5400   2.9790  17.7223  0.62594E+02  0.74670E+02  0.33989E-01  0.73149E+02  0.76633E+02  0.34070E-01  0.74799E+02
   10.5400   2.5650  19.6333  0.43760E+02  0.53900E+02  0.31150E-01  0.52444E+02  0.55625E+02  0.31244E-01  0.53871E+02
   10.5400   2.1280  22.1665  0.29509E+02  0.38092E+02  0.28775E-01  0.36636E+02  0.39622E+02  0.28881E-01  0.37864E+02
   10.5400   1.6670  25.7759  0.18829E+02  0.26226E+02  0.26917E-01  0.24683E+02  0.27606E+02  0.27035E-01  0.25743E+02
   10.5400   1.1810  31.5836  0.10899E+02  0.17449E+02  0.25898E-01  0.15698E+02  0.18729E+02  0.26057E-01  0.16612E+02
   10.5400   0.6690  43.6149  0.50582E+01  0.10920E+02  0.29808E-01  0.87854E+01  0.12125E+02  0.31495E-01  0.95324E+01
   10.5400   0.1280 121.4180  0.79035E+00  0.36608E+01  0.33980E+00  0.20018E+01  0.46175E+01  0.49896E+00  0.22948E+01
   10.5400   8.1670   6.2604  0.80958E+04  0.80918E+04  0.13363E+00  0.79803E+04  0.80375E+04  0.13211E+00  0.79064E+04
   10.5400   8.0370   6.4815  0.67256E+04  0.67401E+04  0.11956E+00  0.66534E+04  0.66983E+04  0.11827E+00  0.65962E+04
   10.5400   7.8990   6.7145  0.55734E+04  0.56014E+04  0.10739E+00  0.55341E+04  0.55697E+04  0.10630E+00  0.54904E+04
   10.5400   7.7540   6.9602  0.46094E+04  0.46460E+04  0.96360E-01  0.45938E+04  0.46223E+04  0.95441E-01  0.45607E+04
   10.5400   7.6010   7.2200  0.38031E+04  0.38449E+04  0.86535E-01  0.38046E+04  0.38276E+04  0.85764E-01  0.37798E+04
   10.5400   7.4400   7.4952  0.31302E+04  0.31747E+04  0.77670E-01  0.31435E+04  0.31623E+04  0.77027E-01  0.31253E+04
   10.5400   7.2700   7.7876  0.25691E+04  0.26143E+04  0.69780E-01  0.25902E+04  0.26058E+04  0.69245E-01  0.25771E+04
   10.5400   7.0910   8.0989  0.21020E+04  0.21466E+04  0.62669E-01  0.21279E+04  0.21410E+04  0.62228E-01  0.21188E+04
   10.5400   6.9020   8.4314  0.17133E+04  0.17565E+04  0.56346E-01  0.17420E+04  0.17533E+04  0.55985E-01  0.17360E+04
   10.5400   6.7020   8.7877  0.13905E+04  0.14318E+04  0.50797E-01  0.14205E+04  0.14303E+04  0.50504E-01  0.14168E+04
   10.5400   6.4920   9.1709  0.11233E+04  0.11621E+04  0.45667E-01  0.11533E+04  0.11619E+04  0.45432E-01  0.11513E+04
   10.5400   6.2700   9.5847  0.90268E+03  0.93867E+03  0.41141E-01  0.93177E+03  0.93941E+03  0.40955E-01  0.93115E+03
   10.5400   6.0360  10.0337  0.72120E+03  0.75423E+03  0.37054E-01  0.74880E+03  0.75563E+03  0.36910E-01  0.74911E+03
