                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5400   3.7440  14.9709  0.22388E+04  0.25389E+04  0.11286E+00  0.25109E+04  0.26381E+04  0.11319E+00  0.25954E+04
   10.5400   3.3720  16.2097  0.16273E+04  0.18789E+04  0.10236E+00  0.18539E+04  0.19687E+04  0.10286E+00  0.19304E+04
   10.5400   2.9790  17.7223  0.11584E+04  0.13685E+04  0.93304E-01  0.13454E+04  0.14488E+04  0.93954E-01  0.14135E+04
   10.5400   2.5650  19.6333  0.80227E+03  0.97733E+03  0.85176E-01  0.95526E+03  0.10487E+04  0.85943E-01  0.10149E+04
   10.5400   2.1280  22.1665  0.53498E+03  0.68133E+03  0.78351E-01  0.65934E+03  0.74466E+03  0.79222E-01  0.71105E+03
   10.5400   1.6670  25.7759  0.33675E+03  0.46056E+03  0.72910E-01  0.43745E+03  0.51732E+03  0.73883E-01  0.48197E+03
   10.5400   1.1810  31.5836  0.19159E+03  0.29849E+03  0.69341E-01  0.27257E+03  0.35023E+03  0.70439E-01  0.31055E+03
   10.5400   0.6690  43.6149  0.86710E+02  0.17911E+03  0.70834E-01  0.14822E+03  0.22597E+03  0.72228E-01  0.17860E+03
   10.5400   0.1280 121.4180  0.12011E+02  0.52996E+02  0.99132E+00  0.31151E+02  0.80265E+02  0.21979E+01  0.42833E+02
   10.5400   8.1670   6.2604  0.16638E+06  0.16439E+06  0.34332E+00  0.16265E+06  0.15933E+06  0.33131E+00  0.15677E+06
   10.5400   8.0370   6.4815  0.13746E+06  0.13634E+06  0.30621E+00  0.13498E+06  0.13242E+06  0.29608E+00  0.13042E+06
   10.5400   7.8990   6.7145  0.11322E+06  0.11274E+06  0.27433E+00  0.11169E+06  0.10973E+06  0.26578E+00  0.10818E+06
   10.5400   7.7540   6.9602  0.93035E+05  0.93005E+05  0.24548E+00  0.92192E+05  0.90715E+05  0.23828E+00  0.89509E+05
   10.5400   7.6010   7.2200  0.76263E+05  0.76534E+05  0.21986E+00  0.75904E+05  0.74805E+05  0.21383E+00  0.73870E+05
   10.5400   7.4400   7.4952  0.62367E+05  0.62829E+05  0.19678E+00  0.62342E+05  0.61536E+05  0.19175E+00  0.60812E+05
